"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"Cedar City, UT","UT",477,1175,0.00945017182130584,0.0164359861591695,0.0425909494232476,12192
2019-05-31,"Bedford, IN","IN",478,880,0.0208816705336427,0.0365135453474676,0.0451306413301663,16700
2019-05-31,"Newport, OR","OR",479,1476,0.00408163265306122,0.00613496932515337,0.0292887029288703,23318
2019-05-31,"Bellefontaine, OH","OH",480,1026,0.00293255131964809,0.00588235294117647,0.024975024975025,17364
2019-05-31,"McAlester, OK","OK",481,850,0,0.00117785630153121,0.00117785630153121,15423
2019-05-31,"Coldwater, MI","MI",482,945,-0.0125391849529781,-0.0197095435684647,-0.0317622950819672,17861
2019-05-31,"Rolla, MO","MO",483,806,-0.0146699266503667,-0.0146699266503667,0.0936227951153324,15708
2019-05-31,"Shelbyville, TN","TN",484,1196,-0.0172555464256368,-0.0244698205546493,0.00251466890192791,15107
2019-05-31,"Duncan, OK","OK",485,702,-0.0263522884882108,-0.0330578512396694,-0.0422919508867667,18299
2019-05-31,"Pullman, WA","WA",486,1401,-0.00849256900212314,-0.0140745953553835,0.0525920360631104,8785
2019-05-31,"Bemidji, MN","MN",487,1308,-0.0022883295194508,0.005380476556495,0.033175355450237,12056
2019-05-31,"Pahrump, NV","NV",488,1344,-0.00370644922164566,0,0.0795180722891566,9739
2019-05-31,"Menomonie, WI","WI",489,1200,-0.0407673860911271,-0.0536277602523659,0.0118043844856661,13876
2019-05-31,"Bucyrus, OH","OH",490,832,0.0171149144254279,0.0335403726708075,0.0505050505050505,15891
2019-05-31,"Bradford, PA","PA",491,925,-0.00107991360691145,-0.00215749730312837,0.0323660714285714,13354
2019-05-31,"Bardstown, KY","KY",492,1043,-0.00286806883365201,0.00384985563041386,0.0450901803607214,15112
2019-05-31,"Cornelia, GA","GA",493,1225,0.00989282769991756,0.016597510373444,0.0888888888888889,21416
2019-05-31,"Alma, MI","MI",494,845,-0.0185830429732869,-0.0276179516685846,0.0217654171704958,13249
2019-05-31,"Durant, OK","OK",495,923,-0.0117773019271949,-0.0117773019271949,-0.0149413020277481,11201
2019-05-31,"Seymour, IN","IN",496,988,0.0175077239958805,0.027027027027027,0.0102249488752556,13868
